sample,fastq_1,fastq_2
SWIFT25213950,Data/Rawfastq/SWIFT25213950_S130_R1_001.fastq.gz,Data/Rawfastq/SWIFT25213950_S130_R2_001.fastq.gz
Artic25213648,Data/Rawfastq/Artic25213648_S1_L001_R1_001.fastq.gz,Data/Rawfastq/Artic25213648_S1_L001_R2_001.fastq.gz
